run,model,accuracy,precision,recall,f1_score,precision_class_0,precision_class_1,recall_class_0,recall_class_1,f1_score_class_0,f1_score_class_1,specificity,sensitivity,features_used,normalize_used,rolling_window,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,C,gamma,kernel,min_samples_split,min_samples_leaf
Reliable_Thrust_195,XGBClassifier,0.91,0.8636363636363636,0.76,0.8085106382978724,0.9230769230769232,0.8636363636363636,0.96,0.76,0.9411764705882352,0.8085106382978724,0.96,0.76,cycle_s1_s2_s3_s4,none,0,159.0,5.0,0.4142316416799185,0.5220493109620755,0.6870789348962115,,,,,
Predictive_Turbo_173,XGBClassifier,0.92,0.9047619047619048,0.76,0.8260869565217391,0.9240506329113924,0.9047619047619048,0.9733333333333334,0.76,0.948051948051948,0.8260869565217391,0.9733333333333334,0.76,cycle_s1_s2_s3_s4,none,0,283.0,20.0,0.9443890246204332,0.8455915092546161,0.8458472855947193,,,,,
Intelligent_Rotor_81,XGBClassifier,0.91,0.8636363636363636,0.76,0.8085106382978724,0.9230769230769232,0.8636363636363636,0.96,0.76,0.9411764705882352,0.8085106382978724,0.96,0.76,cycle_s1_s2_s3_s4,none,0,201.0,18.0,0.9358920946164108,0.9893323583148312,0.7918698978245379,,,,,
Optimal_Flight_169,XGBClassifier,0.91,0.9,0.72,0.7999999999999999,0.9125,0.9,0.9733333333333334,0.72,0.9419354838709678,0.7999999999999999,0.9733333333333334,0.72,cycle_s1_s2_s3_s4,none,0,535.0,11.0,0.055395216130607,0.9359567512588578,0.5425554902638887,,,,,
Reliable_Thrust_185,SVC,0.89,0.75,0.84,0.7924528301886793,0.9444444444444444,0.75,0.9066666666666666,0.84,0.9251700680272108,0.7924528301886793,0.9066666666666666,0.84,cycle_s1_s2_s3_s4,min_max,0,,,,,,0.6524873702934686,0.5872865304666659,linear,,
Intelligent_Turbo_160,SVC,0.89,1.0,0.56,0.717948717948718,0.872093023255814,1.0,1.0,0.56,0.9316770186335404,0.717948717948718,1.0,0.56,cycle_s1_s2_s3_s4,standard,0,,,,,,1.6605671340469308,0.5669905451357343,rbf,,
Reliable_Flight_185,SVC,0.89,1.0,0.56,0.717948717948718,0.872093023255814,1.0,1.0,0.56,0.9316770186335404,0.717948717948718,1.0,0.56,cycle_s1_s2_s3_s4,robust,0,,,,,,2.136958890292336,0.0263285008014443,linear,,
Dynamic_Propulsion_288,RandomForestClassifier,0.89,0.85,0.68,0.7555555555555556,0.9,0.85,0.96,0.68,0.9290322580645162,0.7555555555555556,0.96,0.68,cycle_s1_s2_s3_s4,none,0,362.0,29.0,,,,,,,8.0,8.0
Robust_Fuselage_189,XGBClassifier,0.89,0.85,0.68,0.7555555555555556,0.9,0.85,0.96,0.68,0.9290322580645162,0.7555555555555556,0.96,0.68,cycle_s1_s3,none,0,232.0,16.0,0.8169460876400103,0.9567046323990538,0.944267773722702,,,,,
Predictive_Wing_81,SVC,0.91,0.7857142857142857,0.88,0.830188679245283,0.9583333333333334,0.7857142857142857,0.92,0.88,0.9387755102040816,0.830188679245283,0.92,0.88,cycle_s1_s3,min_max,0,,,,,,2.257357620905517,0.1258951851971406,poly,,
Intelligent_Fuselage_118,SVC,0.88,0.9333333333333332,0.56,0.7000000000000001,0.8705882352941177,0.9333333333333332,0.9866666666666668,0.56,0.925,0.7000000000000001,0.9866666666666668,0.56,cycle_s1_s3,standard,0,,,,,,0.3144408006388007,0.2142839334417387,linear,,
Advanced_Fuselage_56,SVC,0.89,0.9375,0.6,0.7317073170731707,0.8809523809523809,0.9375,0.9866666666666668,0.6,0.930817610062893,0.7317073170731707,0.9866666666666668,0.6,cycle_s1_s3,robust,0,,,,,,0.966396384469204,0.2355959011136921,sigmoid,,
Intelligent_Rotor_244,RandomForestClassifier,0.89,0.85,0.68,0.7555555555555556,0.9,0.85,0.96,0.68,0.9290322580645162,0.7555555555555556,0.96,0.68,cycle_s1_s3,none,0,392.0,26.0,,,,,,,4.0,2.0
Intelligent_Avionics_221,XGBClassifier,0.89,0.8888888888888888,0.64,0.7441860465116279,0.8902439024390244,0.8888888888888888,0.9733333333333334,0.64,0.929936305732484,0.7441860465116279,0.9733333333333334,0.64,cycle_s2_s4,none,0,638.0,29.0,0.0058763743011119,0.5645032229258546,0.7605590015325225,,,,,
Precision_Rotor_19,SVC,0.88,0.8095238095238095,0.68,0.7391304347826089,0.8987341772151899,0.8095238095238095,0.9466666666666668,0.68,0.9220779220779222,0.7391304347826089,0.9466666666666668,0.68,cycle_s2_s4,min_max,0,,,,,,2.2861480867161674,0.407653039807861,poly,,
Dynamic_Thrust_94,SVC,0.86,0.8235294117647058,0.56,0.6666666666666666,0.8674698795180723,0.8235294117647058,0.96,0.56,0.9113924050632912,0.6666666666666666,0.96,0.56,cycle_s2_s4,standard,0,,,,,,0.178796862188738,0.0978373251222153,sigmoid,,
Advanced_Rotor_178,SVC,0.87,0.875,0.56,0.6829268292682927,0.8690476190476191,0.875,0.9733333333333334,0.56,0.9182389937106918,0.6829268292682927,0.9733333333333334,0.56,cycle_s2_s4,robust,0,,,,,,1.7726777488980554,0.095435597299572,sigmoid,,
Predictive_Thrust_292,RandomForestClassifier,0.88,0.8823529411764706,0.6,0.7142857142857143,0.8795180722891566,0.8823529411764706,0.9733333333333334,0.6,0.9240506329113923,0.7142857142857143,0.9733333333333334,0.6,cycle_s2_s4,none,0,63.0,30.0,,,,,,,3.0,6.0
